;0.047186932849364795
believes;0.0034778416186463795
throne;0.0036508183515035933
as;0.029038112522686024
__id__7549;0.05452631417676012
__id__7541;0.01817543805892004
care;0.00712453991836315
__id__7707;0.00908771902946002
afford;0.005835886961895491
fee;0.00908771902946002
fold;0.00908771902946002
kill;0.00452316903643887
night;0.002635181712782318
__id__7668;0.00908771902946002
stop;0.006955683237292759
tyrion;0.0023928379875109516
horrified;0.0091558131958057
__id__7661;0.00908771902946002
ally;0.009817597430992468
had;0.004200310647994237
link;0.007829738665467378
not;0.009074410163339383
ago;0.007891542073235044
offer;0.0036508183515035933
them;0.0018148820326678765
shortly;0.005556121662753462
fabricates;0.00908771902946002
survive;0.005100015622316245
they;0.009074410163339383
life;0.0026877906726248814
walls;0.007891542073235044
watch;0.006080321869536359
killing;0.002635181712782318
stock;0.007829738665467378
confirms;0.004432638525900061
relations;0.00908771902946002
informs;0.0038420352583236044
sack;0.005556121662753462
therefore;0.004908798715496234
volunteer;0.007093867325888133
where;0.004785675975021903
that;0.039927404718693285
decision;0.00457790659790285
fears;0.005100015622316245
fear;0.0037439096298839025
then;0.009939293827625454
winter;0.005100015622316245
inappropriate;0.007829738665467378
comfort;0.005835886961895491
urges;0.0034778416186463795
especially;0.007093867325888133
secured;0.007093867325888133
lived;0.006571758301474737
pet;0.005556121662753462
must;0.002438786822328175
septon;0.007093867325888133
many;0.0026877906726248814
still;0.00452316903643887
when;0.0054446460980036296
reading;0.005100015622316245
follow;0.004298141298760821
rebellion;0.004172927375916988
__id__7540;0.08178947126514018
son;0.006784753554658304
after;0.007951435062100363
drunken;0.005835886961895491
__id__7672;0.00908771902946002
aware;0.005835886961895491
it;0.007392734219006872
freedom;0.005556121662753462
despite;0.0030401609347681796
enemy;0.004432638525900061
__id__7645;0.00908771902946002
__id__7545;0.00908771902946002
__id__7573;0.01817543805892004
wanting;0.005100015622316245
brings;0.0038420352583236044
good;0.010686809877544725
those;0.003397166913436154
services;0.006571758301474737
never;0.002635181712782318
__id__7657;0.00908771902946002
men;0.003975717531050181
sansa;0.005835886961895491
motive;0.007093867325888133
heir;0.0036508183515035933
__id__7554;0.00908771902946002
frequently;0.007093867325888133
lay;0.005556121662753462
remembers;0.004432638525900061
__id__7676;0.00908771902946002
list;0.006166779079488875
lesson;0.005835886961895491
centuries;0.005313777937482096
wildling;0.003397166913436154
actually;0.0038420352583236044
__id__7555;0.00908771902946002
initially;0.004735821982639021
place;0.003106163918744359
__id__7689;0.00908771902946002
share;0.003945771036617522
__id__7551;0.01817543805892004
father;0.004123891739835136
position;0.004055797573489455
coast;0.006571758301474737
__id__7671;0.02726315708838006
food;0.007891542073235044
village;0.01020003124463249
raiding;0.006166779079488875
girl;0.003106163918744359
vassal;0.00908771902946002
knowledge;0.005100015622316245
__id__7547;0.0454385951473001
__id__7621;0.00908771902946002
knighthood;0.007093867325888133
__id__7678;0.00908771902946002
prove;0.004735821982639021
meal;0.007093867325888133
back;0.00641755964833054
perhaps;0.005556121662753462
but;0.009074410163339383
witnesses;0.005556121662753462
taken;0.006080321869536359
examine;0.007829738665467378
group;0.0030401609347681796
__id__7648;0.02726315708838006
__id__7606;0.00908771902946002
next;0.0028554373516285385
spotted;0.005313777937482096
__id__7552;0.00908771902946002
__id__7568;0.00908771902946002
during;0.007602986965090271
i;0.008596282597521642
freed;0.005313777937482096
viewing;0.00908771902946002
stand;0.003562269959181575
states;0.006491678259035463
__id__7583;0.00908771902946002
__id__7710;0.00908771902946002
some;0.005068657976726847
on;0.012704174228675136
look;0.0030401609347681796
duel;0.005835886961895491
farmer;0.03285879150737369
visited;0.005313777937482096
the;0.15245009074410162
compile;0.00908771902946002
traitor;0.005100015622316245
threaten;0.006571758301474737
sends;0.0036508183515035933
common;0.004298141298760821
hesitate;0.007829738665467378
