;0.04122497055359246
snowcovered;0.005081491171581302
consent;0.004265063397070177
purse;0.005081491171581302
counters;0.002429792940007103
depiction;0.005897918946092428
border;0.005897918946092428
hide;0.0034486356225590514
left;0.0035590709629351957
__id__7453;0.005897918946092428
__id__7320;0.005897918946092428
purposely;0.005897918946092428
sincerity;0.005897918946092428
forgetting;0.005897918946092428
perturbed;0.004603911538945066
tyrion;0.0046588471064259165
had;0.004088994994778842
__id__7337;0.005897918946092428
resembling;0.005897918946092428
not;0.009422850412249705
edge;0.004265063397070177
looks;0.004514230228207668
them;0.0035335689045936395
out;0.013436341564763062
they;0.007067137809187279
__id__7499;0.005897918946092428
disgusted;0.00287677718229792
hours;0.007211832829628169
killing;0.0017102298277303382
family;0.0020158967246503437
saw;0.0025608007552134922
dwarf;0.010345906867677156
argue;0.004002232359008681
that;0.050647820965842166
fear;0.002429792940007103
nonetheless;0.005081491171581302
__id__7410;0.15924381154449554
goblet;0.025407455857906512
whom;0.002257115114103834
harming;0.005897918946092428
__id__7281;0.005897918946092428
disgust;0.0063716091689951125
steel;0.006619808263595409
pet;0.0036059164148140844
feels;0.0036059164148140844
__id__7295;0.017693756838277282
hang;0.004265063397070177
__id__7326;0.02359167578436971
__id__7373;0.011795837892184855
same;0.0023693768099864307
well;0.008721864903511836
after;0.006450589987069052
shaken;0.0037874837644339405
tense;0.0034486356225590514
fortress;0.008004464718017362
show;0.0029710559899228154
map;0.004265063397070177
voice;0.0037874837644339405
forests;0.005897918946092428
marriage;0.0021065457719249355
interested;0.0036059164148140844
faults;0.005897918946092428
men;0.0012901179974138103
abandoned;0.0036059164148140844
heir;0.0023693768099864307
__id__7276;0.02359167578436971
breath;0.004603911538945066
way;0.0015238646861344678
lesson;0.0037874837644339405
cuts;0.0029710559899228154
under;0.003354097165550909
sharpening;0.005897918946092428
__id__7430;0.011795837892184855
use;0.0021546282154116902
__id__7356;0.011795837892184855
images;0.011795837892184855
warging;0.018415646155780264
led;0.0019730608657918336
injured;0.0034486356225590514
notified;0.005897918946092428
matteroffactly;0.004603911538945066
__id__7483;0.017693756838277282
tywin;0.0036059164148140844
__id__7446;0.005897918946092428
refused;0.0034486356225590514
attempt;0.0026322078480479263
