targets;0.012773809146001201
eating;0.0071686444078985995
know;0.003704043683018003
__id__3021;0.012773809146001201
notices;0.005865517816658828
__id__3028;0.012773809146001201
__id__2988;0.012773809146001201
__id__2965;0.012773809146001201
war;0.003704043683018003
promise;0.005865517816658828
ship;0.008732124077694602
__id__2976;0.012773809146001201
square;0.0199424535538998
__id__3001;0.012773809146001201
__id__3004;0.012773809146001201
use;0.009333057933084312
__id__2995;0.012773809146001201
lookouts;0.012773809146001201
__id__2971;0.012773809146001201
affections;0.011005576542531953
noble;0.009237343939062705
__id__2986;0.012773809146001201
house;0.005546224084633303
__id__3002;0.025547618292002403
stockpiled;0.012773809146001201
disastrous;0.011005576542531953
brother;0.003120264161515841
raid;0.008202994173480652
water;0.005400411804429352
throne;0.005131634978771632
leave;0.0030629354476075284
raven;0.005700878732124208
city;0.01111213104905401
undying;0.009237343939062705
xaro;0.0099712267769499
tries;0.003006866808018816
kills;0.004888496764985089
just;0.006477875341577053
rendezvous;0.012773809146001201
__id__3032;0.012773809146001201
takes;0.0072643584019202075
avoid;0.007469111335593456
face;0.004183768763382645
believe;0.005865517816658828
__id__2991;0.012773809146001201
__id__3006;0.012773809146001201
reveals;0.0034942526160869516
greyjoy;0.0066567293684543375
__id__3049;0.012773809146001201
__id__3017;0.012773809146001201
blames;0.0099712267769499
death;0.006357821783361778
instead;0.0032389376707885266
life;0.003777991481164055
leaves;0.003704043683018003
relieve;0.009237343939062705
aid;0.005700878732124208
accompanies;0.00866810018571013
__id__2958;0.012773809146001201
flee;0.0066567293684543375
__id__2959;0.012773809146001201
__id__2957;0.012773809146001201
__id__3040;0.012773809146001201
receives;0.013313458736908675
__id__3015;0.012773809146001201
twisted;0.012773809146001201
mate;0.012773809146001201
win;0.005865517816658828
__id__3044;0.012773809146001201
joining;0.009237343939062705
courtyard;0.0062305709892115655
__id__3043;0.012773809146001201
continues;0.004366062038847301
subjects;0.008202994173480652
__id__3019;0.012773809146001201
sees;0.004183768763382645
dangerously;0.011005576542531953
__id__3047;0.012773809146001201
neutralize;0.012773809146001201
rages;0.008202994173480652
__id__3030;0.012773809146001201
soon;0.004183768763382645
command;0.0157874556586686
__id__2967;0.012773809146001201
__id__3037;0.012773809146001201
__id__3031;0.012773809146001201
world;0.004462338385742319
quaithe;0.011005576542531953
dragons;0.008732124077694602
true;0.004462338385742319
insists;0.0038541469994030375
discusses;0.00689986758224088
answer;0.0066567293684543375
neck;0.0071686444078985995
reversal;0.012773809146001201
warlock;0.011005576542531953
perturbed;0.0099712267769499
finds;0.0036321792009601037
hand;0.004013637705988073
sea;0.005546224084633303
home;0.0045623912254190565
__id__3045;0.012773809146001201
predicts;0.009237343939062705
return;0.0033634023753023835
provides;0.0099712267769499
panicking;0.012773809146001201
jars;0.011005576542531953
gathering;0.008202994173480652
__id__2977;0.012773809146001201
crew;0.011005576542531953
imminent;0.009237343939062705
tactics;0.009237343939062705
blamed;0.011005576542531953
warning;0.005865517816658828
judged;0.0099712267769499
accepting;0.011005576542531953
substance;0.011005576542531953
protection;0.008202994173480652
discuss;0.004888496764985089
cautions;0.008202994173480652
exchange;0.0052624852195561995
__id__2994;0.012773809146001201
advice;0.005865517816658828
change;0.0071686444078985995
ancient;0.00866810018571013
__id__2982;0.012773809146001201
flooding;0.012773809146001201
ally;0.00689986758224088
origins;0.0099712267769499
cousin;0.008202994173480652
joins;0.0071686444078985995
fund;0.011005576542531953
need;0.004183768763382645
fleeing;0.008202994173480652
declines;0.007809752643309075
__id__3035;0.012773809146001201
__id__2979;0.012773809146001201
alliance;0.005131634978771632
invites;0.00866810018571013
cupbearer;0.009237343939062705
proposal;0.01847468787812541
tricks;0.0099712267769499
new;0.010090207125907151
__id__2966;0.012773809146001201
sister;0.00393264612865496
extensive;0.012773809146001201
ammunition;0.012773809146001201
__id__3054;0.012773809146001201
__id__3022;0.012773809146001201
meetings;0.00866810018571013
__id__2984;0.012773809146001201
disintegrates;0.012773809146001201
visit;0.005007170274257775
__id__2983;0.025547618292002403
breathing;0.012773809146001201
invasion;0.007469111335593456
party;0.005131634978771632
degrees;0.012773809146001201
ser;0.00836753752676529
littlefinger;0.005131634978771632
lannister;0.009333057933084312
sway;0.012773809146001201
walkway;0.011005576542531953
says;0.0027941586219498086
strategy;0.01561950528661815
northern;0.007469111335593456
lust;0.011005576542531953
brings;0.005400411804429352
passes;0.005865517816658828
manages;0.006041520039839827
task;0.00866810018571013
council;0.004775099411488064
single;0.013313458736908675
hospitality;0.009237343939062705
kill;0.003178910891680889
__id__3005;0.012773809146001201
combat;0.005400411804429352
convinces;0.0052624852195561995
manatarms;0.011005576542531953
feeling;0.009237343939062705
theon;0.007708293998806075
__id__3055;0.012773809146001201
reach;0.004666528966542156
__id__2960;0.012773809146001201
counsel;0.0099712267769499
rayder;0.00866810018571013
revealing;0.005400411804429352
meat;0.0071686444078985995
finger;0.00866810018571013
leads;0.009550198822976128
plan;0.0052624852195561995
masked;0.012773809146001201
marriage;0.009124782450838113
mance;0.007469111335593456
__id__2981;0.012773809146001201
scout;0.008202994173480652
father;0.002898296363072908
__id__2963;0.012773809146001201
insubordinate;0.012773809146001201
__id__3046;0.012773809146001201
__id__3007;0.012773809146001201
__id__3048;0.012773809146001201
stannis;0.01379973516448176
dreams;0.00866810018571013
__id__3010;0.012773809146001201
orders;0.0030629354476075284
__id__2962;0.012773809146001201
__id__2990;0.012773809146001201
holds;0.004666528966542156
__id__2970;0.012773809146001201
__id__2996;0.012773809146001201
__id__3051;0.012773809146001201
