entity1,relationship,entity2
Tyrion,asks Jaime if he thinks,Oberyn
Jon,asks Tyrion what he knows,Tyrion
Robert,asks him to cancel,Daenerys Targaryen
Jon,asks him to take,Wall
Viserys,asks his sister to make,Drogo
Stannis,asks how this could happen,Davos
Robin,asks if he can make,Tyrion
Bronn,asks if he thinks,Littlefinger
Jaime,asks if he will die,Qyburn
Shireen,asks if there is,Faith
Ser Barristan,asks to go,Jorah
Daenerys,asks to relieve,Ornela
Tyrion,asks to speak,Jaime
Davos,asks what happened,Stannis
Bran,asks whether he is,Raven
Jon,asks why he joined,Night's Watch
Robert Baratheon,assassinate,Daenerys
Jon Arryn,assassinated with a poison called,Lys
Tyrion,assaulted,Tyrion
Longclaw,assaulting,Jon
Ramsay,assaulting the struggling,Stannis Baratheon
North,assemble,Winterfell
Cersei,asserts,Tyrion
Varys,asserts that he serves,Baelish
Jorah,assign,Hizdahr zo Loraq
Mormont,assigns,Rast
Lord Commander Snow,assigns,Janos Slynt
Tyrion,assuage,Daenerys
Small Council,assumed,Hand
Jaime,assumes,Brienne
Arya,assumes,Lanna
Jon,assumes to be,Mance Rayder
Melisandre,assures,Stannis
Olenna,assures,Mace
Petyr,assures,Lysa
Baelish,assures,Robin
Samwell,assures,Gilly
Tyrion,astonished,Queen
White Walker,astonished to see,Valyrian
Joffrey Baratheon,at,King
Arya Stark,at,Harrenhal
North,at,Harrenhal
Lord Royce,at,Runestone
Crownlands,at,Castle Stokeworth
Castle Black,at,Stannis
Mutiny,at,Castle Black
Rickon Stark,at,Winterfell
Daenerys,at a,Small Council
Beric,at a,Gendry
Sansa Stark,at an,Winterfell
Arryn,at the,Eyrie
Robert,at the,Lyanna Stark
Ser Rodrik Cassel,at the,Crossroads Inn
Great Hall,at the,Iron Throne
Tommen,at the,Robert
River Trident,at the,Twins
Shagga,at the,Lannister
Ser Rodrik,at the,Inn
Inn,at the,Crossroads
Maester Maester,at the,Melisandre
Robb,at the,House Lannister
Daenerys,at the,Qarth
Harrenhal,at the,Battle
Night's Watch,at the,Fist
North,at the,Dreadfort
Qhorin Halfhand,at the,Fist
Samwell Tarly,at the,Fist
Stannis,at the,Mud Gate
Blackwater,at the,Ser Mandon Moore
Mormont,at the,Fist
Tyrion,at the,Bronn
Daenerys Daenerys,at the,Astapor
Night's Watch,at the,Battle
Sansa,at the,Tourney
Rhaegar,at the,Battle
Rhaegar,at the,Trident
Jon Snow,at the,Fist
Night's Watch,at the,Fist
Edmure,at the,Battle
Tywin,at the,Battle
Inn,at the,Crossroads
Battle,at the,Mummer
Night,at the,Battle
Wall,at the,Fist
Castle Black,at the,Shadow Tower
Stannis Baratheon,at the,Battle
Dragonglass,at the,Fist
Yunkai,at the,Targaryen
Melisandre,at the,Stannis
Sansa,at the,Great Sept
Queensguard,at the,Queen
Robb Robb,at the,Twins
Twins,at the,Red Wedding
Maester Aemon,at the,Sam
Roose Bolton,at the,Dreadfort
Joffrey,at the,Battle
Sansa Stark,at the,Bloody Gate
Bronn,at the,Eyrie
Arya Stark,at the,Bloody Gate
Sam,at the,Pypar
Jon,at the,Battle
Jon,at the,Grenn
Cersei,at the,Great Sept
Winterfell,at the,Wall
Stannis,at the,Blackwater
Shireen,at the,Wall
Hardhome,at the,Wall
Daenerys,at the,Daznak
Myrcella,at the,Great Sept
Samwell,at the,Citadel
Lord Commander Gerold Hightower,at the,Trident
Robb Stark,at the,Roose
Sansa,at the,Wall
Dany,atop,Meereen
Jon,atop the,Wall
Samwell Tarly,atop the,Benjen
Sam,atop the,Wall
Grey Wind,attached,Robb Stark
Qyburn,attaches,Jaime
Robb Stark,attaching,Grey Wind
Riverrun,attack,Jaime
Qotho,attack,Ser Jorah
Pyke,attack,King
Greyjoys,attack,North
Wall,attack,Castle Black
Wall,attack,Castle Black
Littlefinger,attack,High Septon
Sons,attack,Drogon
Arya Stark,attack the Waif using,Arya Stark
Balon,attack the lightly defended,North
Gilly,attacked in the dining,Sam
Castle Black,attacking,Mance
Nymeria,attacks,Joffrey
Sam,attacks,Walker
Podrick,attempt,Sansa
Tyrion,attempt to do,Shae
Tywin,attempt to get,Tommen
Theon Greyjoy,attempts,Osha
Daenerys,attempts to convince,Khal Drogo
Jon Jon,attempts to find,Castle Black
Jon,attempts to leave,Mormont
Daenerys,attempts to visit,Viserion
Qyburn,attend,Jaime
Tywin,attend,Small Council
Maester Wolkan,attend,Myranda
Roose Bolton,attended,Northern Lords
Qyburn,attracting them with candied,Dorne
Tyrion Lannister,augmented,Bronn
Olly,avenging,Ygritte
Sparrows,avoid endangering,Margaery
Castle Black,await,Mance Rayder's
Jorah,awake to find,Daenerys
Theon,awakens,Theon Greyjoy
King,backed,Steelshanks
Queen Talisa,bandages,Willem
Daenerys,baring,Pyat Pree
Night's Watch,barricade,Wall
Moat Cailin,barring,House Bolton
Jon,battles,Orell
Jon,battles,Orell
Robert,be,Hand
Varys,be,Eddard
Jon,be,Maester Aemon
Robert Baratheon,be,Joffrey
House Tarth,be,Baratheon
Craster,be,Craster
Roose,be,Lady Lysa Arryn
Locke,be,Locke
Queen Margaery,be,Highgarden
Low Valyrian,be,Unsullied
Jaime,be,Cersei
King,be,Tyrion
Second Sons,be,Dany
Olenna,be,Tyrion
Brienne,be,Brienne
Sansa,be,Littlefinger
Sansa,be,Winterfell
Stannis,be,Lord
Cersei,be,Lancel
Arya,be,Braavos
Stannis Baratheon,be,Prince
Missandei,be able to keep,Meereen
Bran,be able to live,King
Craster,be able to travel,Mormont
Ros,be acting,Littlefinger
Davos,be around to stop,Stannis
House Greyjoy,be awarded,Casterly Rock
Melisandre,be burned,Lord
Lancel,be coming,Cersei
Cersei,be confined,Red Keep
Cersei,be corrected,Olenna
Rast,be cutting,Sam
Jon,be dealt,Castle Black
Craster,be disgusting,Night's Watch
Jorah Jorah,be enough to take,King
Daenerys,be escorted,Meereen
Missandei,be facing,Daenerys
Robert,be fighting,Dondarrion
Gregor,be fighting,Cersei
Mormont,be fit to travel,Craster
Nymeria,be found,Cersei
Lord Commander,be given,Jaime Lannister
Baelor,be held,Cersei Lannister
Lannisters,be helping,Robb
Lady,be killed,Robert
Arya,be killed,Yoren
Karstark,be killing,Robb
Unsullied,be known,Grey Worm
Shireen,be left,Dragonstone
Baelish,be lost,Varys
City Watch,be made,Lord
Tyrion,be manipulating,Joffrey
Littlefinger,be marrying,Ramsay Bolton
Baelish,be named,Warden
Boltons,be outnumbered,Stannis
North,be rallied,Ramsay Snow
Arya,be ransomed,Lysa Tully
Sansa,be raped,Sandor
Areo Hotah,be received,Prince Doran Martell
Tommen,be returned,Jaime
Barristan,be seen,Jorah
Varys,be seen,Cersei
Myrcella,be separated,Trystane
Jon Snow,be sheltering,Castle Black
Second Sons,be stationed,Yunkai
Sansa,be stuck,Joffrey
Ser Amory,be taken,Harrenhal
Tyrion,be the one to break,Sansa
Reek,be the one to give,Sansa
Petyr Petyr,be the one who sits,Tywin
Arya,be to take,Winterfell
Bolton,be tortured,Robb
Gendry,be tortured,Lord Tywin Lannister
House Tyrell,be willing to switch,Cersei
Ser Meryn Trant,beat,Cersei
Ros,beat,Daisy
Cersei,became,Robert
Daenerys,because the,Dothraki
Jorah,because the,Unsullied
Stannis,because the,Red Priestess
North,because the,Northerners
North,because these,North
Viserys,become,Westeros
Frey,become,Lord
Shireen,become,Stannis
Ygritte,become separated,Qhorin
Tyrion,becomes,King
Sansa,becomes,Lysa
Ros,becomes annoyed when she compares,Tyrion Lannister
Catelyn,becomes suspicious when she notices,Black Walder Rivers
Sansa,becomes suspicious when she realizes,Loras
Joffrey,becomes violent and threatens,Arya
Joffrey,becoming,Tyrell
Tywin,been able to manipulate,Joffrey
Bronn,been awaiting,Tyrion
Bronn,been betrothed,Lollys Stokeworth
Olenna,been circulating,Joffrey
Joffrey,been counseled,Tywin
Tully,been defeated,Riverrun
Town,been destroyed,Castle Black
King,been difficult to begin,Tywin
Tyrion,been done,Daenerys
Rhaegal,been eating,Daenerys
Daenerys,been killed,Viserys
Fingers,been married,Ramsay Bolton
Roose,been named,Warden
Jon,been noted,Sam
Lyanna,been publicly betrothed,Robert
Arya,been rescued,Yoren
Sick,been riding,Tyrion
Joffrey,been searching,Daenerys Stormborn
House Stark,been searching,Bran
Volantis,been secretly funding,Sons
Drogon,been seen,Daario
Shae,been spotted,Cersei
Tarth,been taken,Locke
Daario,been using,Second Sons
Bran Stark,been warging,Summer
Jon Arryn,befall,Lannisters
Meera Reed,before,Bran Stark
Sand Snakes,before,Prince Doran
Petyr Petyr,before a,Lord Yohn Royce
Jaime,before an,Tywin
Sansa,before the,Robb
Hand,before the,Great Sept
North,before the,Targaryens
Jon Snow,before the,Lord
Theon Greyjoy,before the,Winterfell
Hound,before the,Brotherhood
Castle Black,before the,Great Ranging
Yunkai,before the,Valyria
Starks,before the,Red Wedding
Mighty,before the,First Men
Cersei,before the,Targaryens
Margaery,before the,Gods
Wall,before the,Castle Black
Cersei,before the,High Sparrow
Targaryen Kingsguard,before the,Tower
Daenerys,beg her permission to sell,Mighdal
Mighdal,begged him to stay,Mighdal
Black Walder Rivers,begin playing,Rains
Karl,begin to face,Mormont
Jojen,begin to swarm,Hodor
Ser Davos,begins,Shireen Baratheon
Ser Arthur,begins,Eddard
Stannis Baratheon,begins his quest to take,Iron Throne
Thoros,begins praying,Lord
Reek,begins silently crying,Ramsay
Jon,begins strangling,Jon
Qyburn,begins syphoning,Gregor
Lysa,begins telling,Catelyn
Jaime,begins threatening,High Sparrow
Jamie,begins to come,Myrcella
Cersei,begins to criticize,Margaery
Sam,begins to descend,Wall
Cersei,begins to ridicule,Eddard Stark
Missandei,begins to tell,Unburnt
Angered,begins to yell,Dothraki
Viserys,begs,Daenerys
Sansa,begs,Joffrey
Gilly,begs,Sam
Meera,begs,Jojen
Doran,begs,Ellaria
Lommy,begs Polliver to carry,Polliver
Jon,behead,Janos
Sam,behind a,Wights
Cersei,behind the,Castamere
Pod,being,Tywin
White Walker,being,Sam
House Tyrell,being,Cersei
Barristan,being assured,Daario
Shae,being attracted,Sansa
Sandor,being born,House Clegane
Jon,being cut,Jon
Night,being found,Joffrey
Jon,being guarded,Ser Davos
Robb Stark,being hemmed,House Tyrell
Petyr Petyr,being involved,Tyrion
Black Cells,being led,Red Keep
Tyrion,being opened,Jaime
Wall,being operated,Olly
Jorah,being poisoned,Daenerys
House Clegane,being related,Gregor
Robert,being sent,Mott
Rickard Stark,being sent,Vale
Robert,being supplied,Lancel
Tormund,being the only wildling,Castle Black
Jon,being threatened,Orell
Tyrion,believe,Tyrion
Qhorin,believe,Jon
Robb,believe,Robb
Waif,believe that and neither does,Arya
Lord Stark,believed a word he said,Stark
Sansa Stark,believes,Renly
Cersei,believes,Sansa
Brienne,believes,Sansa
Brienne,believes,Sansa
Daenerys,believes,Iron Throne
Tommen,believes,Cersei
Oberyn,believes gave,Elia
Stannis,believes that sacrificing,Shireen
Irri,believes the mutilation will prevent,Rakharo
Cersei,believing,Clegane
Ros,believing that she is,Tyrion
Loras,belong,Highgarden
Varys,below the,Tyrion
Tywin Lannister,berates,Ser Amory Lorch
Theon,berates,Lorren
Joffrey,berates,Tyrion
Joffrey,berating,Sansa
Hizdahr,beseeches,Daenerys
Westeros,besiege,Dreadfort
Lord Mace Tyrell,besieged,Storm
Jon Snow,betray,Dagmer
Castle Black,betray,Night's Watch
Alliser,betray,Commander
Meryn,betray her father and killed,Syrio Forel
Jorah,betrayed,Daenerys
Walder,betrayed oath made,Robb
Littlefinger,betraying,Lannisters
Bronn,betrothed,Lollys Stokeworth
Renly,betting,Loras
Oberyn,between that,Joffrey
Arya,between the,Starks
Jon,between the,Nightʼs Watch
Jon,between the,Lannisters
House Lannister,between the,Houses Reyne
Moat Cailin,between the,North
Castle Black,between the,Night's Watch
Tywin Lannister's,between the,Lannisters
Cersei,between the,Crown
Cersei,between the,Crown
Jon,between the,Free Folk
Doran,between the,Iron Throne
Shadow Lands,beyond,Asshai
Pycelle,beyond any,Qyburn
Night's Watch,beyond the,Wall
Wall,beyond the,Wall
Ser Alliser Thorne,beyond the,Wall
Bronn,beyond the,Wall
Craster,beyond the,Wall
Sandor Clegane,beyond the,Mud Gate
Mormont,beyond the,Wall
Karl,beyond the,Wall
Ygritte,beyond the,Jon
Jojen Reed,beyond the,Wall
Bran,beyond the,Wall
Jorah,beyond the,Wall
Tormund Giantsbane,bidding,Tormund
Jaqen,bids,Arya
Brienne,biting,Sandor
Karstark,blame,Catelyn
Lorren,blame for sleeping,Osha
Night's Watch,blaming,Jon
Jeor Mormont,blind,Maester Aemon
Wall,blocking,Castle Black
Areo Hotah,blocks,Doran
Alliser,blows,Castle Black
Sansa,blurts,Joffrey
Locke,boasts,Jaime
Sandor,born,Beric
Brandon,born to lead,Eddard
Theon,botches,Ser Rodrik
Sandor,bows,Gregor
Obara,break,Bronn
Shae,breaking,Sansa
Catelyn,breaking point and she asks,Brienne
Jaime,bribe him into turning,Locke
Crossroads Inn,bring,Eddard
Cersei,bring,Joffrey
Salladhor,bring,Dragonstone
Eddard Stark,bring,Gregor Clegane
Jaime,bring,Tywin
Jaime,bring,Bronn
Jon,bring,Mance
Areo Hotah,bring,Myrcella
Jaime,bring,King
Ramsay,bring,Winterfell
Harpy,bring,Meereen
Faith Militant,bring,Margaery
Eddard Stark,bring to justice,Ser Gregor Clegane
Catelyn,bringing,Eddard
Alliser Thorne,bringing,Castle Black
Jon,bringing,Wildlings
Littlefinger,brings,Eddard Stark
Ghost,brings,Jon
Baelish,brings,Silent Sisters
Hand,brings,Renly
Ygritte,brings,Jon Snow
Mance,brings,Jon
Beric,brings,Beric
Tywin,brings,Oberyn
Locke,brings,Jon
Mance,brings,Jon
Ser Barristan Selmy,brings,Rhaegar Targaryen
Reek,brings,Sansa
Margaery,brings,Margaery
Areo,brings,Ellaria
Arya,brings,Meryn
Maester Caleotte,brings,Myrcella
Stannis,broke his marriage vows,Selyse
Jon Snow,broken,Night's Watch
Catelyn,broker,Stannis
Harrenhal,brokering,Houses Lannister
Tyrion,brought,Shae
Lord Karstark,brought,Riverrun
Light,brought,Jon
Iron Throne,brutalize,Rivermen
Bay,build,Meereen
Sansa,builds,Winterfell
Targaryens,built,Dragonstone
Daario,bumps,Ser Jorah
House Bolton,burned,Winterfell
Gregor,burying,Gregor
Eddard,but,Eddard
Winterfell,but,Robb
North,but,Melisandre
Ramsay Bolton,but,Jon
Aemon,butchered or exiled,Robert
Elia,by,Tywin
Water Gardens,by,Areo Hotah
Dosh Khaleen,by,Khal Moro
Arya,by The,Waif
Arya,by The,Waif
Melisandre,by The,Lord
Robb,by a,Drowned Priest
Theon Greyjoy,by a,Roose Bolton
Wights,by a,White Walker
Jon Snow,by a,Ygritte
Syrio Forel,by a,Meryn Trant
Jojen,by a,Meera
Loboda,by a,White Walker
Baelish,by a,Bolton
Viserys,by all,Drogo
Jon Arryn,by the,Lannisters
Arya,by the,Needle
Tyrion,by the,Wall
Joffrey,by the,Lady
Luwin,by the,Dothraki
Rhaegar,by the,Robert Baratheon
Twins,by the,Lord Walder Frey
Riverrun,by the,Lannisters
Jaime,by the,Starks
Daenerys,by the,Dothraki
Cressen,by the,Cressen
Renly Baratheon,by the,Shadow
Winterfell,by the,Theon Greyjoy
Davos,by the,Stannis
Unsullied,by the,Unsullied
Horses,by the,White Walkers
Night,by the,White Walkers
Tyrion,by the,Starks
Unsullied,by the,Daenerys
Willem,by the,Karstark
Qyburn,by the,Citadel
Beric,by the,Lord
Arya Stark,by the,Greyscale
Edmure,by the,Frey
Stark Valyrian,by the,Lannisters
Night's Watch,by the,Seven Kingdoms
Jaime,by the,Tyrion
Baelor,by the,High Septon
Hill,by the,Grenn
Jon,by the,Night's Watch
Greyscale,by the,Craster
Great Sept,by the,Faith Militant
North,by the,Houses Jon
Grey Worm,by the,Sons
Barristan Selmy,by the,Sons
Jon,by the,Night's Watch
Ramsay,by the,Sansa
Jaime,by the,Sand Snakes
Loras Tyrell’s,by the,Faith Militant
Roose Bolton,by the,Sansa
Westeros,by the,Olenna
Jon,by the,White Walker
Mace,by the,Tycho Nestoris
Jorah,by the,Water Dancer
Stannis,by the,Bolton
Margaery,by the,Faith
Arya,by the,Waif
Thorne,by the,Wun Wun
Vala,by the,Unsullied
Loras,by the,Tommen
Jaime,by this,Qyburn
Bran,bypass the powerful magic keeping,White Walkers
Ramsay,cajoles him into admitting,Bran
Daenerys,called,Khal Drogo
First Men,called,Children
Tyene,called,Long Farewell
Joffrey,calling,Lady Stark
Sansa,calls,Lady
Bran,calls,Rickon
Rickon,calls,Shaggydog
Arya,calls,Jaqen
Rast,calls,Craster
Daenerys,calls,Unsullied
Bolton,calls,Qyburn
Tywin,calls,Stannis
Cersei,calls,Kingdom
Jaime,calls,Cersei
Slynt,calls,Jon
Mance,calls,Jon
High Sparrow,calls,Olyvar
Robert Baratheon,calls a halt to discuss,Eddard
Varys,calmly walks,Tyrion
Daenerys,calms,Viserys
Lysa,calms,Sansa
Barristan,came,Jorah
Onion Knight,came,Ser Davos Seaworth
Mance,came,Jon
Harrenhal,came,Mad King
Arya,came to join,Faceless Men
Jon,came to parley,Mance
Night's Watch,camped,Craster
Daenerys,captured and offered,Khal Moro
Jeor,care as he only requires,Thorne
Brienne,care that Renly loved,Loras
Tyrion,cares,Sansa
Petyr,cares,Sansa
Lord Bolton,cares more about getting,King
Kevan,caring,Myrcella
Tyrion,carry,Lady Lysa Arryn
Freys,carry,Walder Frey
Daenerys Targaryen,carry,Westeros
Bran,carry,Bran
Nakloz,carrying,Drogon
Riverlands,carrying,Melisandre
Columns,carrying,House Baratheon
Jon,carrying,Stark
Silent Sisters,carrying a box containing,Ned Stark
Dorne,carved,Princess Myrcella
Tyrion,cast,Essos
Tyrion,castrated,Varys
Maester Aemon,casts,Jon Snow
Jon,catches,Melisandre
Sam,caught reading,Maester Aemon
Qyburn,cause,Jaime
Tyrion,cause,Joffrey
Wun Wun,cause,Wun Wun
Bolton,causes,Myranda
Khal Drogo,causing,Viserys
Podrick,causing,Brienne
Arya,causing,Hound
Ramsay,causing,Myranda
Robert,celebrate,Eddard
Roose,cement,Bolton
Jaime Lannister,challenges,Joffrey
Joffrey,challenges,Tywin
Sam,chambers only to hear,Gilly
Qyburn,change,Cersei
Cersei,change his mind by exploiting,Sparrows
Joffrey,changes,Daenerys Targaryen
Tormund,charge,Ygritte
Joffrey,charged with making,Robert
Mag Mag,charges,Castle Black
Kingsguard,charming,Tommen
Jaime,chased,Tyrion
Balon,chastises him for becoming,Starks
Robb,chats,Talisa
Qyburn,checks,Jaime
Eddard,chooses not to tell,Robert
Xaro Xhoan Daxos,chooses to vouch,Daenerys
Aegon,choosing sides that plunged,Westeros
Brotherhood,chose,Beric
Rhaegar,chose,Lyanna
Oberyn,circles,Gregor
Mad King,citing,House Stark
Ramsay,citing,Robb Stark
Ser Loras Tyrell,claim,Renly
Renly,claim the throne and supported,Stannis
Joffrey,claiming,Tyrion
Joffrey,claiming,Sansa
Grenn,claiming,Alliser
Stannis,claiming he has,Melisandre
Samwell,claiming to be,Jon
Riverrun,claims she learned,Ramsay
Cersei,claims that she is,Ser Loras
Arya,clean and stitch,Sandor
White Walkers,climb,Wall
Jon,climbing,Wall
Brotherhood,closing,Sandor
Bronn,collapses and tries to play,Tyene
Jon,come,Jon
Water Gardens,come,Myrcella
Myrcella,come,Trystane
Tormund,come to attack,Castle Black
Stannis,come to treat,Renly
Theon,comes,Tyrion
Alliser Thorne,comes,Jon
Eddard,comes,Arya
Sandor Sandor,comes,Loras
Joffrey,comes,Starks
Rast,comes,Mormont
Volantis,comes,Tyrion
Wall,comes,White Walkers
House Martell,comes of age to fulfill,Trystane Martell
Prince Prince,comes to apologize,Sansa
Grey Worm,comes to apologize,Missandei
Reek,comes to fetch,Sansa
Lancel,comes to tell,Stannis
Jaqen H'ghar,comes to test,Arya
Sansa Stark,comes to thank,Sandor
Jaime,comforts,Cersei
Tyrion,comforts,Sansa
Samwell Samwell,comforts,Pypar
Sam,comforts,Pyp
Sansa,coming,Jaime Lannister
Daenerys,coming,Khal Drogo
Bran,coming back to help,Meera
Melisandre,coming battle to take,Winterfell
Drogo,coming is,Dothraki
Cersei,command,Kingsguard
Kingsguard,command,Ser Mandon Moore
Grey Worm,command the Unsullied in keeping,Tyrion
Iron Throne,commands,Slynt
Joffrey,commands,Ilyn Payne
Iron Throne,commands,Ser Meryn Trant
Joffrey,commands,Tyrion
Cersei,commands that she will wed,Ser Loras
Cersei,commenting they will technically be,Cersei
Tywin,commissioned,Volantis
Rakharo,compare,Westerosi
Lysa,complains,Bronn
Tyrion,complains,Shae
Shae,complains,Tyrion Lannister
Kraznys,complains,Missandei
Grand Maester Pycelle,complains,Qyburn
Cersei,comprised,Grand Maester Pycelle
Robb,concentrated,Riverrun
Varys,concur,Daenerys
Robert,condemn him without hearing,Eddard
Edmure,confer,Riverrun
Jorah,confesses,Daenerys
Ramsay,confesses to Ramsay,Sansa
Tyrion,confessing,Cersei
Daenerys,confides,Mormont
Arya,confides,Gendry
Varys,confirm who sent,Ser Mandon Moore
Robert Baratheon,confirming,Eddard Stark
White Walker,confirming,Valyrian
Jojen,confirms,Bran
Jojen,confirms,Bran
Baelish,confirms,Joffrey
Ser Barristan,confirms,Viserys
Tywin,confirms that he excludes,Cersei
Shae,confirms that she is,Tyrion
Qyburn,confirms that they sent,Lord Selwyn Tarth
Robb,confront and delay,Tywin
King,confronts,Queen Cersei
Renly,confronts,Eddard
Syrio Forel,confronts,Ser Meryn Trant
Orell,confronts,Ygritte
Tommen,confronts,High Sparrow
Sansa,confronts,Petyr Baelish
Bran,confronts Leaf about creating,White Walkers
Sansa,confused and horrified,Baelish
Davos,confused given,Jon
Ramsay,congratulating,Locke
Robb,conjured to assassinate,Renly
Drogo,conquer,Savo
Daenerys,conquering,Yunkai
Daenerys,conquers,Westeros
Rast,conscripted criminals exiled,Wall
Davos,consider,Renly Baratheon
Karstark,consider attacking,Casterly Rock
Robb,consider exchanging,Jaime
Mormont,considers,Craster
Council –,consists,Pycelle
Tyrion,console his wife but fails,Sansa
Margaery Margaery,consoles,Sansa
Tyrion,consummate,Sansa
Jojen,contact,Bran
Loboda,contacting,White Walker
Lysa,contemplate,Petyr
Joffrey,contemplates,Ros
Gilly,continue,Castle Black
Jorah,continue,Meereen
Dorne,continue,Trystane
Balon,continue fighting,Yara
Bran,continue onward to reach,Jon
Loras,continue resisting,Margaery
Barristan,continue to disagree,Daenerys
Shaggydog,continue to head,Winterfell
Arya Stark,continue to spar,Clegane
Tyrion,continue to struggle,Tyrion
Brotherhood,continues to cite,Thoros
Baelish,continues to deny,Loras Tyrell’s
Waif,continues to drill,Arya
Grey Worm,continues to fight,Sons
Eddard Eddard,continues to investigate,Jon Arryn
Olenna,continues to prod,Sansa
Shae,continues to warn,Sansa
Stannis,continues to watch,Selyse
Jon Snow,continuing to express,Jon
Unable,control,Sansa
Robb,controls,Sansa
Sansa,controls,North
Cersei,convenes,Small Council
High Valyrian,convert,Robert Baratheon
Jon,convince,Mance Rayder
Tormund,convince,Jon
Jon,convince,Wildlings
Grand Maester Pycelle,convinced,Lannisters
Tywin,convinced that it was,Jaqen H'ghar
Sansa,convinces,Joffrey
Arya,convinces,Lommy
Davos,convinces,Salladhor
Margaery,convinces,Joffrey
Slynt,convinces,Thorne
Tyrion,convinces,Jorah
Jaime,convinces,Tommen
Melisandre,convinces him to leave,Melisandre
Ygritte,convinces him to spare,Jon
Tyrion,convinces the hill tribes,House Lannister
Catelyn Stark,convinces the servant to get,Sansa –
Joffrey,counseling based,Robert Baratheon
Tywin,counsels,Melisandre
Jon,countenance if he were,Jon
King Joffrey,cow,Joffrey
Walder,cowering,Joyeuse
White Walker,cradling,Craster
Melisandre,creating another would kill,Stannis
Jon,crests a rise and sees,Wall
Robb,crippling,Bran
Volantis,criticizes,Robb
Margaery,criticizes,Cersei
Gendry,criticizes,Arya
Tommen,criticizes,High Sparrow
Dothraki,cross,Narrow Sea
Dothraki,cross,Narrow Sea
Hot Pie,cross,Jaqen H'ghar
Robb,cross and commit,Robb
Maester Maester,crossed,Wall
Eddard,crosses,Jaime
Daenerys,crosses,Narrow Sea
Hound,crossing,Riverlands
Meereenese Great Masters,crucified,Daenerys
King,crush,Faith Militant
Starks,crush them and install,Kevan
Oberyn,crushing,Viper
Myrcella,cuddling,Trystane
Jaime,cut,Jaime
Frey,cut,Grey Wind
Bronn,cut,Bronn
Jaime,cut it off and hung,Jaime
Bones,cuts,Jon
Landing,dared not refuse,Cersei
Tyrion,dash,Sansa
Tywin Tywin,deal,Robb
Lannisters,deal,Locke
Sansa,deal,Lysa
Jorah,debate how to take,Yunkai
Gregor,decapitates,Ser Loras
House Tully,deceased,Lord Hoster Tully
Daario Naharis,deceased,Ser Barristan Selmy
Tommen,decided to make,Mace Tyrell
Sam,decided to take,Jon
Catelyn,decides,Ned
Eddard,decides,Littlefinger
Robb,decides,King
Orell,decides,Tormund
Daenerys,decides,Tyrion
Shae,decides to defy,Tywin
Jeor Mormont,decides to leave,Longclaw
Lord Lord,decides to overlook,Jon
Tywin,decides to retreat,Harrenhal
Eddard,decides to send,Winterfell
Samwell,decides to take,Horn Hill
Roose Roose,decides what to do,Jaime Lannister
Renly Baratheon,decimates,Stannis
Meereen,declare,Yunkai
Rides,declared,Eddard Stark
Dany,declared that he would lead,Dothraki
Razdal,declares,Yunkai
Tywin,declares,Tyrion
Pyat Pree,declares Xaro,Qarth
Jorah,declares that he brought,Tyrion
Kraznys,declares that she is,Daenerys Stormborn
Margaery,declaring,Cersei
Jon,declines,Stannis
Tyrion,declines to be,Tyrion
Sansa,declines to dismiss,Shae
Stannis Baratheon,declining,Shireen Baratheon
Jaime,deduces,Brienne
Sam,deduces,Bran
Seven Kingdoms,defeat,Robert
Theon,defeat,Lannisters
Tarth,defeat,Ser Loras Tyrell
Ramsay,defeat,Stannis
Oberyn,defeated,Gregor
Randyll Tarly,defeated,Robert Baratheon
Bolton,defeats,Stannis
Winterfell,defend,North
Jon,defend,Jon
Meera,defend,Jojen
Eddison Tollett,defend,Castle Black
Barristan,defending,Robert
Sam,defending,Gilly
Joffrey,defends,Margaery
Sansa,defends,Tyrion
Tyrion,defends,Jorah
Thorne,defends,Edd
Missandei,defends,Daenerys
Sam,defends himself by reciting,Night's Watch
Theon,defied,Balon
Snow,defied,Stannis
Daenerys,defies,Qotho
Khal Moro,defuses the situation by reminding,Ahko
Robin Robin,delighted to see,Petyr
Winterfell,deliver,Bolton
Winterfell,deliver,Robb Stark
Catelyn,delivered,Maester Luwin
Lancel Lannister,delivering,Cersei
Roose,delivers,Ramsay Snow
Areo,delivers it by striking,Bronn
Lysa,demand,Lysa
Casterly Rock,demanding,Lord Tywin Lannister
Gregor,demanding that before he dies,Gregor
Hound,demanding to know,Arya
Tyrion,demands,Lysa
Lord Lord,demands,Jaime
Kraznys,demands,Missandei
Davos,demands,Melisandre
Joffrey,demands,Sansa Stark
Daenerys,demands,Jorah
Ellaria Sand,demands,Doran Martell
Bolton,demands that he dispose,Jaime
Daenerys,demands to know,Mirri Maz Duur
Tyrion,demands to know,Tywin
Arya,demands to know,Clegane
Lysa,demands to know,Petyr
Podrick,denied,Brienne
Cersei,denies,Lancel
Sansa,denies,Brienne
Ramsay,denies murdering,Bolton
Osha,denounces,Starks
Tyrion Lannister,depart,Winterfell
Varys,depart,Pentos
Jorah,depart,Varys
Selyse,departs,Melisandre
Jorah,departs,Daenerys
Eddard,depend,Northern
Seven Kingdoms,depicting,Robb
Daenerys,deposed by a butcher named,Cleon
First Men,descended from defeated,White Walkers
Jon,descends,Wall
Sam,describe lying,Ygritte
Tormund,describing,Rayder
Edd,designating,Edd
