;0.03571428571428571
reach;0.002840495892677834
take;0.0017321628682016215
as;0.015527950310559006
him;0.026397515527950312
departing;0.004993126888205615
blue;0.005622731093342516
shattered;0.006069442385969504
calms;0.005622731093342516
convinces;0.003203251872773339
water;0.006574414370609646
companions;0.005276234895649643
urges;0.005951213453025326
undead;0.004993126888205615
mercy;0.0071406303854977034
__id__7728;0.015550724177740593
__id__7745;0.007775362088870297
sound;0.005276234895649643
chambers;0.006095685551270335
wailing;0.006699046591106406
tyrion;0.006141865207073919
trust;0.0035703151927488517
__id__7843;0.007775362088870297
ally;0.004199919397885753
had;0.0017968720241031246
like;0.004599293977069284
declares;0.003287207185304823
not;0.009316770186335404
certainly;0.006699046591106406
some;0.0021683466965655997
__id__7721;0.031101448355481186
__id__7764;0.007775362088870297
them;0.006211180124223602
__id__7736;0.007775362088870297
out;0.0048309376009954145
retaliation;0.006699046591106406
they;0.012422360248447204
each;0.002906582250470995
__id__7714;0.09330434506644357
__id__7802;0.007775362088870297
tells;0.006211180124223602
draped;0.007775362088870297
compliments;0.006699046591106406
__id__7711;0.031101448355481186
__id__7865;0.015550724177740593
confirms;0.0037925214716939964
over;0.0018302667527071053
__id__7763;0.007775362088870297
saw;0.0033759624862985324
bewildered;0.007775362088870297
insists;0.014076015128254573
helpful;0.006699046591106406
dealt;0.006699046591106406
__id__7862;0.023326086266610892
liked;0.006699046591106406
where;0.006141865207073919
argue;0.005276234895649643
that;0.06521739130434782
__id__7804;0.038876810444351484
killed;0.0018992912287487727
longheld;0.007775362088870297
then;0.005102376613995303
likely;0.004051922224276553
honor;0.003916811390441724
__id__7723;0.007775362088870297
advises;0.0034701000978147353
__id__7794;0.007775362088870297
whom;0.002975606726512663
admonishes;0.006069442385969504
its;0.007481999084954886
hear;0.003203251872773339
certainty;0.006069442385969504
steel;0.008727045366137425
__id__7753;0.007775362088870297
must;0.006259805306379617
raping;0.005622731093342516
uprising;0.007775362088870297
confession;0.006069442385969504
still;0.0038699784768289084
163;0.018208327157908516
same;0.003123603900121863
rebellion;0.0035703151927488517
drops;0.004363522683068713
later;0.0018992912287487727
kill;0.0038699784768289084
son;0.005804967715243363
after;0.0017007922046651009
view;0.005276234895649643
could;0.0022108916875409326
it;0.00790643741202016
hand;0.002443083821036218
squire;0.0037925214716939964
convincing;0.005276234895649643
best;0.009143528326905502
weapon;0.005622731093342516
last;0.004886167642072436
marry;0.006406503745546678
side;0.004692005042751524
brings;0.003287207185304823
castration;0.007775362088870297
__id__7871;0.007775362088870297
masters;0.008727045366137425
never;0.004509270570630612
worse;0.004753762478535959
fruitful;0.007775362088870297
motive;0.006069442385969504
means;0.006247207800243726
cities;0.004051922224276553
cradling;0.006699046591106406
poisonous;0.006699046591106406
wedding;0.003287207185304823
suspected;0.006699046591106406
floor;0.0037925214716939964
success;0.005276234895649643
innocence;0.004993126888205615
emblem;0.007775362088870297
__id__7757;0.007775362088870297
__id__7846;0.007775362088870297
older;0.0033759624862985324
than;0.004173203537586411
icy;0.006699046591106406
use;0.002840495892677834
importantly;0.007775362088870297
golden;0.004753762478535959
falls;0.010410300293444207
warging;0.006069442385969504
food;0.006751924972597065
and;0.07763975155279502
insisting;0.00909283119115725
blood;0.005680991785355668
girl;0.0026576029801679223
entirely;0.005622731093342516
mountain;0.010552469791299287
master;0.004363522683068713
cheek;0.006069442385969504
including;0.00892682017953799
burning;0.0036774469807720686
wants;0.0022108916875409326
pretends;0.006069442385969504
done;0.003287207185304823
__id__7796;0.06220289671096237
revealed;0.003916811390441724
but;0.010869565217391304
oathkeeper;0.007775362088870297
goes;0.005202262966016356
daughters;0.0034701000978147353
group;0.002601131483008178
skull;0.004993126888205615
__id__7732;0.007775362088870297
__id__7716;0.023326086266610892
atop;0.004753762478535959
thorne;0.006069442385969504
__id__7777;0.007775362088870297
move;0.0033759624862985324
reward;0.004199919397885753
also;0.0034015844093302017
__id__7713;0.023326086266610892
__id__7834;0.007775362088870297
__id__7883;0.007775362088870297
when;0.004658385093167702
whomever;0.007775362088870297
evades;0.006699046591106406
clever;0.005622731093342516
volunteers;0.012138884771939008
murdered;0.0034701000978147353
accusation;0.007775362088870297
deserves;0.006699046591106406
since;0.002443083821036218
on;0.015527950310559006
free;0.006751924972597065
commands;0.0036774469807720686
killer;0.006069442385969504
beyond;0.002346002521375762
mutineers;0.022490924373370063
presses;0.006069442385969504
supplies;0.004993126888205615
innate;0.007775362088870297
teaching;0.005276234895649643
grandmother;0.005276234895649643
__id__7784;0.08552898297757328
confused;0.003916811390441724
towards;0.003203251872773339
__id__7788;0.038876810444351484
along;0.002346002521375762
have;0.011272187735655966
bay;0.008399838795771506
__id__7741;0.007775362088870297
accuses;0.0037925214716939964
