;0.052508751458576426
creature;0.0037521280233423753
an;0.005834305717619603
hide;0.003416442991309959
anyway;0.0030448517064575265
spurs;0.005842862526525637
gently;0.004225249503048518
naming;0.004560934535080934
ponders;0.0037521280233423753
examples;0.005842862526525637
marrying;0.003572255584804151
render;0.005842862526525637
names;0.008549768358591368
had;0.004050824679775073
learn;0.0026829439721473285
panic;0.005842862526525637
not;0.012835472578763127
looks;0.0022360451947189674
offer;0.002347258940114912
them;0.010501750291715286
shortly;0.007144511169608302
they;0.01866977829638273
strike;0.0031560654518534713
destruction;0.005034056014787077
gallop;0.005842862526525637
behavior;0.004560934535080934
margaery;0.0037521280233423753
saw;0.0025368959640329693
missandei;0.003964871963592031
saying;0.0034561789045888204
knocks;0.002849922786197122
likes;0.003416442991309959
that;0.044340723453908985
decision;0.0029433215116038158
unsullied;0.005365887944294657
bedchamber;0.004225249503048518
visions;0.003572255584804151
fed;0.004225249503048518
__id__6334;0.005842862526525637
outrage;0.004560934535080934
knife;0.0072213332767772365
continue;0.0021345149998652567
hear;0.0024071110922590784
feels;0.003572255584804151
wed;0.003279006543636232
advance;0.003964871963592031
surprised;0.0025368959640329693
pulls;0.0031560654518534713
placates;0.004225249503048518
save;0.0026076364795713995
after;0.007668449333519195
drunken;0.0037521280233423753
tense;0.006832885982619918
scream;0.003416442991309959
__id__6378;0.02337145010610255
swiftly;0.003964871963592031
marry;0.0024071110922590784
inferring;0.005842862526525637
marriage;0.0083475256026337
fondles;0.005034056014787077
never;0.00338853004374109
worse;0.007144511169608302
men;0.0038342246667595974
swallows;0.005842862526525637
opens;0.003572255584804151
odd;0.0037521280233423753
depart;0.002849922786197122
way;0.004528918734637678
lesson;0.0037521280233423753
reason;0.002849922786197122
cuts;0.0029433215116038158
__id__6367;0.017528587579576912
__id__6316;0.005842862526525637
initially;0.0030448517064575265
place;0.001997078552191531
pain;0.0030448517064575265
threatening;0.0027634490730655916
position;0.0026076364795713995
between;0.0034561789045888204
food;0.0025368959640329693
break;0.0029433215116038158
stained;0.005842862526525637
teach;0.003964871963592031
girl;0.003994157104383062
friends;0.0029433215116038158
__id__6421;0.005842862526525637
itself;0.0030448517064575265
ghiscari;0.005842862526525637
fewer;0.005842862526525637
organize;0.005842862526525637
smile;0.007929743927184062
wants;0.001661393520159114
taken;0.003909285122654065
group;0.0019546425613270325
bedding;0.015102168044361234
drinking;0.003279006543636232
land;0.0027634490730655916
approaching;0.003964871963592031
branch;0.004560934535080934
