;0.04030226700251889
throne;0.005067004815311032
punish;0.003855696519114808
hated;0.009121004594742016
__id__10547;0.0063064649688066386
care;0.0024720538381726043
__id__10562;0.0063064649688066386
lives;0.003286445733544207
thousands;0.002666198271204416
above;0.0035391796069222307
boat;0.007375041923306385
marrying;0.003855696519114808
tyrion;0.003321042143875402
__id__10522;0.0063064649688066386
comes;0.009429919240822775
learning;0.004560502297371008
had;0.008744475442234853
__id__10602;0.0063064649688066386
refutes;0.0063064649688066386
releasing;0.0042794650790911465
believe;0.002895822398148943
them;0.012594458438287154
__id__10648;0.06937111465687303
unbuckles;0.0063064649688066386
they;0.017632241813602016
ruins;0.004560502297371008
spotting;0.0063064649688066386
most;0.0024720538381726043
loras;0.0036875209616531925
mutiny;0.004922822287864435
knocks;0.003076050160920572
__id__10502;0.0063064649688066386
that;0.07052896725440806
surround;0.004922822287864435
visibly;0.006152100321841144
tolerate;0.012612929937613277
allows;0.003076050160920572
whom;0.0024134643978263918
lovely;0.0063064649688066386
barely;0.002982715183396993
courage;0.0042794650790911465
surprised;0.005476372395909962
well;0.005595614586711497
after;0.009656386975604881
loyalty;0.003076050160920572
__id__10514;0.0063064649688066386
supplies;0.004049840952146619
__id__10473;0.0630646496880664
last;0.001981544056356832
marry;0.0025981035340881995
marriage;0.002252465189375655
never;0.0018286966293993164
__id__10504;0.012612929937613277
men;0.00551793541463136
__id__10697;0.0063064649688066386
clothes;0.006152100321841144
attended;0.004922822287864435
way;0.0032588441272749704
exact;0.004560502297371008
actually;0.005332396542408832
grandsons;0.0063064649688066386
confidence;0.005433483633088823
food;0.002738186197954981
led;0.0021097338476791776
break;0.003176859616428804
girl;0.008622147703920112
strikes;0.003855696519114808
wants;0.003586433870973201
shaped;0.004560502297371008
unsure;0.004049840952146619
landing;0.006650437447424709
goes;0.0021097338476791776
charges;0.003855696519114808
__id__10469;0.10090343950090622
__id__10715;0.0315323248440332
defeat;0.003176859616428804
not;0.011335012594458438
tried;0.009530578849286412
during;0.003517418822640419
surprising;0.004560502297371008
improvise;0.0063064649688066386
__id__10518;0.07567757962567967
obstructs;0.0063064649688066386
lie;0.009859337200632621
members;0.0024720538381726043
states;0.002252465189375655
lannistertyrell;0.005433483633088823
murdered;0.0028145396259353773
__id__10507;0.0063064649688066386
since;0.003963088112713664
on;0.011335012594458438
acquitted;0.0063064649688066386
__id__10525;0.0063064649688066386
birthmark;0.005433483633088823
disguises;0.0063064649688066386
muster;0.004922822287864435
down;0.0014049280694229777
besides;0.005433483633088823
__id__10472;0.05045171975045311
fooled;0.0063064649688066386
persuade;0.004560502297371008
grew;0.005433483633088823
named;0.002666198271204416
is;0.07178841309823678
expedition;0.005433483633088823
pits;0.004049840952146619
methodically;0.0063064649688066386
add;0.004922822287864435
respond;0.004922822287864435
attacked;0.0036875209616531925
lack;0.0035391796069222307
test;0.0042794650790911465
__id__10506;0.0063064649688066386
suddenly;0.002533502407655516
motivation;0.0063064649688066386
be;0.0076953335415732745
bore;0.004560502297371008
arrest;0.007375041923306385
prince;0.003286445733544207
patience;0.005433483633088823
right;0.004311073851960056
__id__10680;0.0315323248440332
every;0.004607756561421978
future;0.002982715183396993
asks;0.01517432239023624
arya;0.012304200643682288
to;0.12216624685138538
needs;0.0019415582902175621
walk;0.007600507222966548
pleads;0.003855696519114808
knowledge;0.0035391796069222307
