;0.029950083194675542
reach;0.003043726048060774
__id__5850;0.008331669193398455
take;0.0018560946541128856
as;0.013311148086522463
castle;0.0025138529513577218
__id__5952;0.01666333838679691
consent;0.006025023001851215
kill;0.004146865456036301
convert;0.008331669193398455
__id__5935;0.03332667677359382
stop;0.0031885037136009237
dismiss;0.0065036953353816325
experiences;0.0065036953353816325
accusations;0.006025023001851215
__id__5858;0.06665335354718764
replies;0.00334708970329198
had;0.0019254335832319673
left;0.0025138529513577218
like;0.0024641807996943588
dynasties;0.008331669193398455
possibly;0.005350372239608013
__id__5917;0.03332667677359382
not;0.014975041597337771
certainly;0.007178346097624835
younger;0.004341826809374543
looks;0.006377007427201847
them;0.0066555740432612314
formal;0.007178346097624835
assumes;0.005350372239608013
accuses;0.00406386660194831
small;0.00261788016763282
they;0.009983361064891847
__id__5988;0.01666333838679691
place;0.0028477476193479903
__id__5888;0.058321684353789184
inherit;0.007178346097624835
most;0.009797724197216546
saw;0.0036175038954679786
her;0.029950083194675542
loras;0.009743399812155192
__id__5995;0.008331669193398455
__id__6010;0.008331669193398455
__id__5873;0.01666333838679691
that;0.05490848585690516
capability;0.008331669193398455
killed;0.0020351806178273042
then;0.007289918002025457
visions;0.00509388192375567
__id__6004;0.04165834596699227
personally;0.004341826809374543
whom;0.0031885037136009237
sacks;0.008331669193398455
top;0.00812773320389662
its;0.002672438941048778
lived;0.006025023001851215
brother;0.0020351806178273042
became;0.00509388192375567
must;0.002235892743931488
barely;0.00394055882798205
camp;0.009565511140802771
many;0.0049283615993887175
still;0.0020734327280181506
lying;0.0035223983815911917
when;0.008319467554076539
this;0.0018560946541128856
their;0.011647254575707155
well;0.0049283615993887175
stupid;0.005653735894839219
later;0.0040703612356546084
explains;0.002323486310462972
son;0.0020734327280181506
after;0.0036449590010127287
view;0.005653735894839219
aware;0.010700744479216026
could;0.0023690752858175723
it;0.005083273570723111
hand;0.00261788016763282
weight;0.0065036953353816325
__id__5849;0.008331669193398455
declines;0.00509388192375567
grant;0.006025023001851215
better;0.0032659080657388485
__id__5885;0.008331669193398455
marry;0.017162181414858823
dinner;0.004871699906077596
barb;0.007178346097624835
__id__5989;0.008331669193398455
__id__5973;0.008331669193398455
carry;0.00509388192375567
men;0.0036449590010127287
dagger;0.0035223983815911917
__id__5843;0.01666333838679691
trade;0.005653735894839219
close;0.0035223983815911917
cutting;0.005350372239608013
threw;0.005350372239608013
wildling;0.00311454071431501
under;0.0023690752858175723
life;0.0024641807996943588
troubled;0.007178346097624835
position;0.003718376810303976
hideout;0.013007390670763265
__id__6020;0.008331669193398455
food;0.0036175038954679786
reluctant;0.0045004127990656
led;0.002787235732208431
break;0.004197049143834394
share;0.0036175038954679786
__id__5947;0.03332667677359382
priestess;0.011307471789678438
never;0.0024159486251964348
tensions;0.007178346097624835
bodies;0.0036175038954679786
now;0.0022791131871981447
favorably;0.008331669193398455
__id__5936;0.008331669193398455
anything;0.003825762036822397
__id__5879;0.06665335354718764
compliment;0.008331669193398455
revealed;0.004197049143834394
perhaps;0.00509388192375567
but;0.014975041597337771
ordered;0.004197049143834394
__id__5946;0.008331669193398455
goes;0.002787235732208431
__id__5918;0.04165834596699227
group;0.005574471464416862
pinky;0.008331669193398455
worst;0.00509388192375567
__id__6015;0.008331669193398455
boy;0.011903210385119935
bow;0.0090008255981312
shoot;0.006025023001851215
joffrey;0.00406386660194831
scoffs;0.0045004127990656
colors;0.0065036953353816325
__id__5896;0.01666333838679691
counters;0.0034324362829717646
with;0.024958402662229616
__id__5972;0.008331669193398455
nations;0.008331669193398455
throwing;0.005350372239608013
into;0.0066555740432612314
apology;0.010700744479216026
on;0.009983361064891847
__id__6005;0.008331669193398455
spots;0.004675721477364811
advisors;0.005653735894839219
couple;0.005653735894839219
__id__5939;0.008331669193398455
dislodges;0.008331669193398455
beyond;0.0050277059027154436
unexpected;0.0065036953353816325
common;0.00394055882798205
joust;0.0065036953353816325
accompany;0.005350372239608013
impression;0.008331669193398455
teaching;0.005653735894839219
cements;0.008331669193398455
situation;0.0031885037136009237
cleaning;0.0065036953353816325
is;0.04159733777038269
coded;0.007178346097624835
witch;0.006025023001851215
red;0.005350372239608013
__id__5855;0.09998003032078145
pays;0.005350372239608013
compromise;0.008331669193398455
__id__5970;0.01666333838679691
amusement;0.006025023001851215
jaime;0.0049283615993887175
location;0.004871699906077596
realizes;0.00892740778883995
be;0.008472122617871851
current;0.005350372239608013
__id__5977;0.008331669193398455
arrest;0.004871699906077596
rock;0.004341826809374543
calls;0.003043726048060774
shows;0.0034324362829717646
right;0.00854324285804397
homosexuality;0.0065036953353816325
each;0.00311454071431501
__id__5971;0.01666333838679691
kissing;0.00509388192375567
wall;0.012754014854403695
journey;0.0045004127990656
varys;0.005653735894839219
needs;0.0025650537145303566
while;0.008627631211982937
hopes;0.004197049143834394
identity;0.0035223983815911917
__id__5877;0.008331669193398455
daughters;0.003718376810303976
