;0.00916030534351145
contain;0.007644783488904536
left;0.004613208011499208
take;0.006812292440438744
as;0.016793893129770993
an;0.0030534351145038168
tearfully;0.0055283035482634815
hide;0.008940127155885907
convinces;0.003149456803154245
days;0.004129386400364008
responds;0.0030711464300434807
late;0.003851032878541176
__id__11770;0.007644783488904536
kill;0.00380498647187453
investigate;0.005187626370684535
guiding;0.007644783488904536
__id__11713;0.015289566977809073
spare;0.003983874675471909
tyrion;0.004025812919445907
comes;0.002857769418783696
felt;0.004909272848861703
brothers;0.01714661651270218
leathery;0.007644783488904536
like;0.0045220539255459834
__id__11715;0.030579133955618145
liquids;0.007644783488904536
not;0.007633587786259542
hair;0.003851032878541176
ll;0.003851032878541176
offer;0.0061422928600869614
dogs;0.009818545697723407
them;0.013740458015267175
body;0.024569171440347846
small;0.0024020549324386634
offered;0.003851032878541176
they;0.030534351145038167
ser;0.020030990598424392
tells;0.007633587786259542
summary;0.0055283035482634815
most;0.005993315259569612
__id__11812;0.007644783488904536
__id__11799;0.030579133955618145
harmed;0.0065865435185840085
hounds;0.01472781854658511
__id__11810;0.015289566977809073
streets;0.003983874675471909
saw;0.006638533866187038
glamor;0.0065865435185840085
ships;0.00351035570096223
runs;0.003411823607622427
curses;0.005967512819182231
escorted;0.005967512819182231
impale;0.0065865435185840085
that;0.04122137404580153
__id__11705;0.030579133955618145
fell;0.005187626370684535
then;0.00668891712857603
speaks;0.0030711464300434807
brutal;0.0065865435185840085
over;0.0035990588969263384
man;0.0019384176594642788
lives;0.003983874675471909
knife;0.003149456803154245
grabs;0.003411823607622427
youth;0.004673928299507111
nt;0.006938211751600489
announces;0.003983874675471909
sins;0.004673928299507111
survived;0.005187626370684535
still;0.005707479707811795
beating;0.005967512819182231
this;0.001703073110109686
afraid;0.003851032878541176
pulls;0.004129386400364008
envied;0.007644783488904536
later;0.0018673947348308545
__id__11738;0.007644783488904536
surrenders;0.007644783488904536
after;0.010033375692864046
charred;0.0055283035482634815
could;0.004347524417637743
it;0.0031094630188341884
realizing;0.010235470822867281
__id__11724;0.007644783488904536
